num_article;doi;term
1;https://doi.org/10.1002/jgh3.12450;Probiotics
1;https://doi.org/10.1002/jgh3.12450;Parkinson's disease
1;https://doi.org/10.1002/jgh3.12450;gut-brain axis
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;Parkinson's disease
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;pathogens
1;https://doi.org/10.1002/jgh3.12450;dysbiosis
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;studies
1;https://doi.org/10.1002/jgh3.12450;inflammation
1;https://doi.org/10.1002/jgh3.12450;gut microbiome
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;microbiome
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;therapies
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;Probiotic
1;https://doi.org/10.1002/jgh3.12450;microorganisms
1;https://doi.org/10.1002/jgh3.12450;pathogen colonization
1;https://doi.org/10.1002/jgh3.12450;pathogen
1;https://doi.org/10.1002/jgh3.12450;microbiome
1;https://doi.org/10.1002/jgh3.12450;inflammation
1;https://doi.org/10.1002/jgh3.12450;host
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;animal
1;https://doi.org/10.1002/jgh3.12450;studies
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;treatment
1;https://doi.org/10.1002/jgh3.12450;constipation
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;cognitive
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;animal
1;https://doi.org/10.1002/jgh3.12450;studies
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;probiotic
1;https://doi.org/10.1002/jgh3.12450;therapy
1;https://doi.org/10.1002/jgh3.12450;host
1;https://doi.org/10.1002/jgh3.12450;disorder
2;https://doi.org/10.3389/fpsyt.2020.587670;Bibliometric
2;https://doi.org/10.3389/fpsyt.2020.587670;Gut Microbiota
2;https://doi.org/10.3389/fpsyt.2020.587670;Gut
2;https://doi.org/10.3389/fpsyt.2020.587670;Microbiota
2;https://doi.org/10.3389/fpsyt.2020.587670;Depression
2;https://doi.org/10.3389/fpsyt.2020.587670;1999
2;https://doi.org/10.3389/fpsyt.2020.587670;gut microbiota
2;https://doi.org/10.3389/fpsyt.2020.587670;gut
2;https://doi.org/10.3389/fpsyt.2020.587670;microbiota
2;https://doi.org/10.3389/fpsyt.2020.587670;host
2;https://doi.org/10.3389/fpsyt.2020.587670;system
2;https://doi.org/10.3389/fpsyt.2020.587670;pathway
2;https://doi.org/10.3389/fpsyt.2020.587670;microbiota
2;https://doi.org/10.3389/fpsyt.2020.587670;gut
2;https://doi.org/10.3389/fpsyt.2020.587670;brain
2;https://doi.org/10.3389/fpsyt.2020.587670;gut
2;https://doi.org/10.3389/fpsyt.2020.587670;microbiome
2;https://doi.org/10.3389/fpsyt.2020.587670;These
2;https://doi.org/10.3389/fpsyt.2020.587670;host
2;https://doi.org/10.3389/fpsyt.2020.587670;disorders
2;https://doi.org/10.3389/fpsyt.2020.587670;depression
