<Alzheimer'>,"Neurodegenerative disorder that primarily affects cognitive functions, characterized by progressive memory loss, impaired reasoning, and behavioral changes due to the accumulation of amyloid plaques and neurofibrillary tangles in the brain."
<Alzheimer's disease>,"Neurodegenerative disorder that primarily affects cognitive functions, characterized by progressive memory loss, impaired reasoning, and alterations in behavior, often associated with pathological accumulation of amyloid-beta plaques and tau tangles in the brain."
<Antrodia camphorata>,"Ganoderma that is a medicinal fungus known for its bioactive compounds, particularly polysaccharides and triterpenoids, and is utilized in traditional medicine for its immunomodulatory and hepatoprotective properties."
<Body>,"Organism that comprises biological systems, including the central and enteric nervous systems, facilitating interactions such as gut-brain communication and influenced by microbial constituents."
<CI>,"Clinical investigation is a systematic study that involves the evaluation of medical interventions, diagnostic procedures, or therapeutic strategies in human subjects to assess safety, efficacy, and outcomes."
<Clinical trial>,"Research study that evaluates the efficacy and safety of interventions, such as treatments or therapies, on specific health conditions or disorders within defined populations."
<Cox regression>,"Statistical method that models the relationship between the survival time of subjects and one or more predictor variables, incorporating the effect of censored data and allowing for the estimation of hazard ratios."
<Diet>,"Nutritional regimen that comprises the selection and consumption of specific food items, influencing gut microbiota composition and metabolic processes, thereby impacting physiological functions such as immune response and neural signaling."
<Disease>,"Pathological condition that disrupts normal physiological functions, characterized by specific signs and symptoms, and often associated with alterations in biological systems, including the microbiome and its interactions with mental health."
<Diseease>,"Pathological condition that disrupts normal physiological functions, characterized by specific host-microbe interactions and mechanistic relationships, often elucidated through knowledge graphs and scientific inquiry."
<Disorder>,"Health condition that involves a disruption in normal physiological or psychological functioning, often characterized by specific symptoms and requiring clinical assessment and intervention."
<Dysbiosis>,"Microbial imbalance that disrupts the composition and function of the gut microbiota, potentially influencing host health and contributing to conditions such as psychiatric disorders through mechanisms involving the gut-brain axis."
<GM>,"Genus that encompasses organisms whose genetic material has been artificially manipulated through biotechnological techniques to introduce, enhance, or modify specific traits or functions."
<Gastrointestinal infection>,"Infection that occurs in the gastrointestinal tract, characterized by the invasion and multiplication of pathogenic microorganisms, leading to inflammation and disruption of normal digestive functions."
<Gastrointestinal tract>,"Digestive system component that comprises a continuous tube extending from the oral cavity to the anus, facilitating the mechanical and chemical processing of food, nutrient absorption, and waste elimination."
<Gut dysbiosis>,"Dysbiosis that occurs in the gut microbiota, characterized by an imbalance in microbial composition and function, often associated with various gastrointestinal and central nervous system disorders."
<Gut microbiome differences between people with Parkinson's disease>,"Microbial community composition that differs among individuals diagnosed with Parkinson's disease, characterized by alterations in microbial diversity, abundance, and functional potential compared to healthy individuals."
<Gut microbiome>,"Microbiome that comprises a diverse community of microorganisms residing in the gastrointestinal tract, which interact with the host's immune system and influence metabolic, neurological, and psychological functions."
<Gut microbiota>,"Microbiota that inhabit the gastrointestinal tract and interact with the host's physiology, influencing metabolic processes, immune responses, and the gut-brain axis, thereby impacting mental health and neurological functions."
<Gut-brain axis>,"Neurobiological pathway that links the gastrointestinal system and the central nervous system, characterized by bidirectional communication involving gut microbiota and their metabolites, influencing mood, behavior, and the pathophysiology of psychiatric disorders."
<Gut-microbiome-brain axis>,"Microbiome that influences neurological function and health through bidirectional communication between gut bacteria and the central nervous system, impacting various neurological conditions."
<Homeostasis>,Biological regulation that maintains internal stability of physiological parameters despite external fluctuations.
<MCI>,"Cognitive impairment that occurs between normal cognitive aging and the onset of dementia, characterized by noticeable deficits in memory, attention, and executive function, while preserving independence in daily activities."
<Metabolism>,"Biochemical process that encompasses the chemical reactions and metabolic pathways by which organisms convert nutrients into energy, structural components, and signaling molecules, while maintaining homeostasis and regulating physiological functions."
