<APs>,"Biomolecules that function as signaling molecules in cellular communication and regulation, often involved in modulating physiological processes and responses."
<Adverse effect>,"Physiological response that results in harmful or undesirable effects on health, often associated with interventions such as medications or changes in microbiota, particularly within the context of the microbiota-brain axis and its implications for mental health."
<Akkermansia muciniphila>,"Bacteroidetes that resides in the mucus layer of the gastrointestinal tract, known for its role in mucin degradation and potential health benefits related to metabolic and inflammatory conditions."
<Antipsychotic>,"Pharmacological agent that acts primarily on the central nervous system to mitigate symptoms of psychosis by modulating neurotransmitter activity, particularly dopamine and serotonin pathways."
<Anxiety>,"Mental health disorder that is characterized by excessive worry, fear, or apprehension, often accompanied by physiological symptoms, and is associated with dysregulation in neurobiological pathways and gut microbiota interactions."
<Axis>,Biological structure that serves as a central line or point of reference around which physiological or anatomical features are organized or aligned.
<Bipolar disorder>,"Mental disorder that is characterized by the presence of mood episodes, including manic, hypomanic, and depressive states, which significantly impact an individual's emotional regulation and functioning."
<Brain>,"Nervous organ that integrates sensory information, regulates physiological processes, and coordinates behavior, influenced by microbial metabolites and the gut-brain axis in health and disease contexts."
<Depression>,"Mental disorder characterized by persistent feelings of sadness, loss of interest or pleasure, and various cognitive and physical symptoms that impair daily functioning and are often associated with dysregulation of neurobiological and psychosocial factors."
<Disease>,"Pathological condition that disrupts normal physiological functions, characterized by specific signs and symptoms, and often associated with alterations in biological systems, including the microbiome and its interactions with mental health."
<Diseease>,"Pathological condition that disrupts normal physiological functions, characterized by identifiable mechanisms and interactions, often involving host-microbe relationships."
<Dysbiosis>,"Microbial imbalance that disrupts the composition and function of the gut microbiota, potentially influencing host health and contributing to conditions such as psychiatric disorders."
<GM>,"Genus: Genetic modification that involves the alteration of an organism's genetic material through biotechnological techniques, resulting in specific phenotypic changes or the introduction of new traits."
<Gastrointestinal microbiota>,"Microbiota that inhabit the gastrointestinal tract and participate in metabolic, immunological, and neurological processes, influencing host health and disease states."
<Gut microbiome>,"Microbiome that comprises a diverse community of microorganisms residing in the gastrointestinal tract, which interact with the host's immune system and influence metabolic, neurological, and psychological functions."
<Gut microbiota>,"Microbiota that inhabit the gastrointestinal tract and interact with the host's physiology, influencing metabolic processes, immune responses, and the gut-brain axis, thereby impacting mental health and neurological functions."
<Gut-brain axis>,"Neurobiological pathway that links the gut microbiota with brain function, influencing mood and behavior through biochemical signaling and immune responses, and implicated in the pathophysiology of psychiatric disorders."
<Gut>,"Digestive organ that comprises the gastrointestinal tract and associated microbiota, which interact with the central nervous system and influence metabolic processes and immune responses."
<HPA>,"Endocrine system that regulates stress response and homeostasis through the interaction of the hypothalamus, pituitary gland, and adrenal glands."
<Health>,"State of physiological and psychological well-being that encompasses the optimal functioning of biological systems, influenced by interactions among genetic, environmental, and microbial factors."
<Host>,"Organism that serves as a habitat and source of nutrients for symbiotic or pathogenic microorganisms, influencing physiological and psychological processes through interactions with its microbiota."
<Human>,"Homo sapiens, which is characterized by bipedalism, advanced cognitive abilities, and a unique gut microbiota that influences health and disease risk."
<Immune response>,"Biological process that involves the coordinated activation and regulation of immune cells and molecules in response to pathogens or other foreign substances, influenced by factors such as the microbiome and neuro-immune interactions in the context of diseases."
<Inflammation>,"Physiological response that involves the activation of immune cells, release of inflammatory mediators, and increased vascular permeability, aimed at eliminating harmful stimuli and initiating tissue repair."
<MGB>,"MGB is a molecular biomarker that indicates the presence of specific genetic alterations associated with malignancies, facilitating targeted therapeutic strategies and prognostic assessments in oncology."
<Major depressive disorder>,"Mood disorder that is characterized by persistent feelings of sadness, loss of interest or pleasure, and a range of cognitive and physical symptoms affecting daily functioning."
